trip_id,arrival_time,departure_time,start_pickup_drop_off_window,end_pickup_drop_off_window,stop_id,stop_sequence,pickup_type,drop_off_type,local_zone_id,stop_headsign,timepoint,pickup_booking_rule_id,drop_off_booking_rule_id
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,05:58:00,05:58:00,,,IDFM:22226,10,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,05:59:00,05:59:00,,,IDFM:463198,11,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,06:01:00,06:01:00,,,IDFM:22093,12,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,06:02:00,06:02:00,,,IDFM:22224,13,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,06:04:00,06:04:00,,,IDFM:22218,14,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,06:06:00,06:06:00,,,IDFM:22225,15,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,06:07:00,06:07:00,,,IDFM:22129,16,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,06:08:00,06:08:00,,,IDFM:22227,17,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,06:10:00,06:10:00,,,IDFM:22231,18,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,06:12:00,06:12:00,,,IDFM:22219,19,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,06:14:00,06:14:00,,,IDFM:22238,20,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,06:16:00,06:16:00,,,IDFM:22234,21,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,06:18:00,06:18:00,,,IDFM:22232,22,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_2,06:20:00,06:20:00,,,IDFM:22233,23,1,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_1,05:35:00,05:35:00,,,IDFM:22237,0,0,1,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467826_1,05:37:00,05:37:00,,,IDFM:463214,1,0,0,,,1,,
